year,solar_radiation,mean_relative_humidity,mean_air_temperature,mean_wind_speed,total_precipitation,percentage_possible_sunshine,total_sunshine_duration
Jan-10,9.1,67,16.8,5,90,28,92.7
Feb-10,9.2,77,18.3,5.6,276.5,22,69.5
Mar-10,14.2,71,19.9,5.8,41.5,36,134.9
Apr-10,13.4,76,21.2,5.4,219,21,81.3
May-10,14.8,79,23.8,5.1,574.5,27,111.8
Jun-10,17.6,82,26.7,5.4,220.5,31,128.1
Jul-10,17.4,80,28.7,5.7,348.5,35,146.2
Aug-10,18.9,79,28.9,5.3,281.5,45,183.5
Sep-10,18.4,76,28,4.9,193,56,207.2
Oct-10,12.3,74,25.7,5.3,368,34,119.7
Nov-10,10.2,66,21.4,5.1,194,32,105.1
Dec-10,9.8,64,18.1,5.3,88.5,38,122.7
Jan-11,6.8,65,14.9,5.8,97,18,59.7
Feb-11,11.8,71,17.6,4.5,121.5,33,104.4
Mar-11,12.1,63,17.1,5.2,40,24,88
Apr-11,18.1,69,20.4,4.7,90,48,182.4
May-11,13.1,86,23.9,5.1,299.5,18,75.7
Jun-11,20.6,85,27.9,6.4,223.5,46,189.5
Jul-11,21.9,81,28.9,5.1,111,56,234.9
Aug-11,19,81,28.3,5.9,471.5,49,199.2
Sep-11,19,76,27.9,5.8,71.5,56,205.2
Oct-11,11.8,78,25.2,5,212,32,114.7
Nov-11,9,76,23.7,5.7,314,24,78.8
Dec-11,7.1,69,18.6,5.7,70.5,21,69.8
Jan-12,6.8,71,17,5.3,119,16,54.4
Feb-12,8.5,74,17.5,5.2,109.5,18,57.3
Mar-12,13.8,71,19.6,5.6,81,34,124.8
Apr-12,13.9,75,21.7,5.5,356.5,26,99.6
May-12,16.9,77,24.4,5,229.5,34,141.6
Jun-12,16.3,86,26.9,6,372,30,124.7
Jul-12,21.5,79,29.1,5.4,96,57,239.5
Aug-12,17,82,28.5,6.4,674,41,164.1
Sep-12,15.9,76,27.2,5.4,271.5,43,159.1
Oct-12,14.2,70,24.6,6,96.5,46,163.2
Nov-12,10.5,67,21,4.7,214.5,36,115.7
Dec-12,8.5,65,18.5,5.9,113,29,94.9
Jan-13,9,66,17,5.5,100,29,94.6
Feb-13,11.6,72,18.6,5.1,75,36,111.7
Mar-13,14.3,72,20.4,4.9,140.5,39,143.5
Apr-13,13.5,74,20.6,4.9,202.5,24,93.4
May-13,14.9,81,23.7,4.6,602.5,23,94.1
Jun-13,22,80,27.9,5.5,105,53,216
Jul-13,23.4,73,29.4,5,4.5,64,268.4
Aug-13,21.2,76,29.6,4.7,212,60,241.7
Sep-13,18.7,74,28.3,6,178,56,206.5
Oct-13,12.4,72,25.3,7.3,200,36,129.7
Nov-13,10.6,66,21.3,5,121,37,120
Dec-13,8.3,64,17.3,5.4,130,27,89.4
Jan-14,11,61,16.8,5,66,44,145.4
Feb-14,11,72,17.9,5.4,227,26,82.9
Mar-14,12.9,69,18.4,5.6,185,30,110.1
Apr-14,17.2,73,20.9,5.1,100.5,39,149.1
May-14,15.5,81,23.6,4.9,354.5,27,112.5
Jun-14,16.7,85,26.9,5.1,397.5,33,134.5
Jul-14,21.8,80,29.3,6.3,494,56,235.5
Aug-14,17.3,82,28.7,4.6,229,44,175.7
Sep-14,19.1,75,28.8,4.2,95.5,61,224
Oct-14,14.1,70,25.4,6.7,269,48,171.2
Nov-14,11.6,68,22.6,5.1,49.5,41,134.7
Dec-14,8.1,62,17.6,5.7,117,26,84.6
Jan-15,8.5,61,16.6,5.3,22,27,90.7
Feb-15,12.2,65,16.8,4.7,47,36,114.1
Mar-15,14.1,72,19,5.1,95.5,34,126.5
Apr-15,15.2,76,22.2,4.8,100,31,118.9
May-15,17.6,81,24.9,4.7,197.5,35,144.2
Jun-15,21.8,83,28.7,5.8,38,54,221.7
Jul-15,20.2,79,29,6.3,369,48,202.3
Aug-15,18,79,28.7,5.5,278,42,170.2
Sep-15,19,73,27.8,4.5,46.5,57,208.5
Oct-15,14.8,68,25.5,5,63.5,49,174.6
Nov-15,11.7,71,23.8,4.9,95,43,139.7
Dec-15,8.8,68,20.1,5.4,73,31,102.4
Jan-16,7.5,71,17.4,5.3,272.5,23,75.8
Feb-16,10.2,65,16.9,5.9,157.5,26,83.1
Mar-16,12.4,70,18.7,5,168.5,29,106.6
Apr-16,16.4,82,23,5.4,350.5,33,125.5
May-16,17.5,82,25.7,4.9,129.5,35,143.2
Jun-16,19.1,82,28.4,5,319.5,45,185.7
Jul-16,22.9,76,29.8,5,193,60,253
Aug-16,19.7,74,29.5,4.2,209,56,226.4
Sep-16,15.6,78,28.4,5.6,342,38,141.8
Oct-16,14.5,79,27.7,5.1,75.5,49,175.6
Nov-16,11.2,66,23.2,4.8,103,39,128.4
Dec-16,9.6,63,20.5,5.4,47.5,34,112.1
Jan-17,8.4,64,18.4,4.7,92.5,23,77
Feb-17,10.5,63,17.1,5.2,84,25,79.9
Mar-17,12.3,67,18.3,5,96.5,28,102.4
Apr-17,15.7,71,21.6,5.2,67,34,128.6
May-17,15.7,78,24.2,4.5,315.5,27,112.1
Jun-17,15.6,85,26.6,5.1,444.5,26,107.7
Jul-17,23.1,74,29.9,3.7,44,64,267.2
Aug-17,21.3,74,30.4,4.8,56.5,60,242.1
Sep-17,17.1,75,28.9,4.9,239.5,50,186.1
Oct-17,14.4,73,27,6.3,270,44,155.8
Nov-17,9.5,71,22.8,5.4,146.5,26,85.6
Dec-17,9,61,18,5.3,50.5,31,101.5
Jan-18,8.1,67,17.2,5.5,150.5,23,74.9
Feb-18,11.4,66,16.9,5.4,84,31,97.9
Mar-18,16.9,67,19.9,5.2,100.5,49,181.6
Apr-18,17.8,72,21.6,4.9,126,42,161.3
May-18,22.3,78,25.6,4.7,33,58,238.4
Jun-18,19.2,82,27.8,5.2,218.5,42,171.7
Jul-18,18.7,82,28.3,6.5,429,43,179.7
Aug-18,18.9,82,28.5,5.4,310,50,203.4
Sep-18,17.2,79,28.4,5.5,334.5,47,174.6
Oct-18,13.1,72,23.9,5.2,375,43,151.8
Nov-18,12.1,71,23.1,4.8,160.5,48,155.9
Dec-18,8.1,73,20.4,5.2,148,26,85.3
Jan-19,9.3,67,18.1,4.6,55,29,97.4
Feb-19,10.7,79,20,4.4,156.5,25,78.4
Mar-19,14.1,70,19.9,5.5,183.5,35,129.8
Apr-19,15.2,78,22.3,5,128,31,119.2
May-19,17.5,74,24.2,4.4,208.5,36,150.7
Jun-19,14.7,89,26.5,5.2,595.5,22,90.7
Jul-19,19.2,84,28.9,5.4,284,47,196.2
Aug-19,18.9,83,29.2,5.6,208,47,191.3
Sep-19,15.7,82,28,6.2,477.5,42,154.2
Oct-19,15.8,75,26,5,104.5,56,198.8
Nov-19,11.5,70,23.1,5.5,136,42,135.7
Dec-19,9.4,73,20,5.1,100.5,38,123.2
